start,end,days,sign,avg_abs_pos,trade_return_pct
1994-06-20,1994-07-18,21,-1,1.0,-0.28047503880394675
1994-07-28,1994-07-29,2,-1,1.0,-2.594032276642134
1994-08-12,1994-08-16,3,-1,1.0,-1.5412825669252357
1994-09-12,1994-11-25,55,-1,1.7454545454545454,-2.1918661209169596
1994-11-30,1994-12-06,5,-1,1.0,-2.3452438965121414
1994-12-26,1994-12-27,2,-1,1.0,-1.280724650531098
1995-01-04,1995-01-13,8,-1,1.0,-1.717964023008838
1995-01-25,1995-01-25,1,-1,1.0,-0.028018953087955205
1995-01-30,1995-07-19,123,1,2.040650406504065,29.792268162199466
1995-08-25,1996-02-20,128,1,2.796875,12.744797734529826
1996-02-26,1996-03-04,6,-1,1.0,-0.774294846039469
1996-03-08,1996-06-28,81,-1,1.1481481481481481,-1.3371986633791915
1996-07-08,1996-07-16,7,-1,1.2857142857142858,-4.527430370687464
1996-07-30,1996-07-31,2,-1,1.0,-0.9680367323312944
1996-08-05,1996-08-23,15,1,1.0,-2.610225263000328
1996-08-28,1996-09-13,13,-1,1.1538461538461537,-1.0311921701730375
1996-09-27,1996-12-11,54,1,2.3518518518518516,-0.24699361262068598
1996-12-30,1996-12-31,2,1,1.0,-1.587757446142588
1997-01-03,1997-01-21,13,-1,1.0,-0.21324371969506695
1997-01-27,1997-01-31,5,-1,1.0,-2.150209716222884
1997-02-04,1997-02-26,17,1,1.411764705882353,-3.3459281536859207
1997-02-28,1997-04-30,44,-1,2.0,0.38758454110393736
1997-05-02,1997-05-22,15,1,1.0,-0.4800609063997813
1997-06-03,1997-08-08,49,1,2.63265306122449,6.551002441758351
1997-08-18,1997-08-22,5,1,1.0,-1.7705336954565076
1997-09-03,1998-02-26,127,1,2.125984251968504,7.6359120853858595
1998-03-12,1998-03-27,12,1,1.5833333333333333,-2.9373692502103683
1998-04-02,1998-04-22,15,1,1.4,-2.6245515062699356
1998-04-28,1998-04-30,3,-1,1.0,-1.5828328528000055
1998-05-21,1998-10-13,104,1,2.9326923076923075,47.12882753657157
1998-10-16,1998-11-04,14,1,1.0,-5.46200616801535
1998-12-02,1998-12-23,16,1,1.0,-4.026399628345021
1999-01-12,1999-01-13,2,-1,1.0,-0.9646453963077825
1999-01-29,1999-02-01,2,1,1.0,-1.3398817339374023
1999-02-05,1999-04-07,44,-1,1.3181818181818181,1.411018448281666
1999-04-19,1999-07-13,62,-1,1.8064516129032258,6.654212893084838
1999-07-23,1999-08-25,24,-1,1.6666666666666667,-3.6256435141380634
1999-08-31,1999-09-23,18,-1,1.0,-2.338650887659593
1999-09-30,1999-10-29,22,-1,1.5,-2.234894673919808
1999-11-08,1999-11-17,8,1,1.0,-1.0719900142559529
1999-11-23,1999-12-10,14,-1,1.0714285714285714,-1.7167444660284616
1999-12-16,2000-02-22,49,-1,2.163265306122449,4.749369233379694
2000-03-17,2000-04-25,28,1,1.4285714285714286,-1.2355728725862754
2000-05-03,2000-05-25,17,-1,1.2352941176470589,-1.3214873344788454
2000-06-02,2000-07-17,32,1,1.34375,-1.4187951498471936
2000-07-21,2001-04-12,190,1,2.405263157894737,23.451175153331526
2001-05-10,2001-05-10,1,1,1.0,-0.025007273655488802
2001-05-16,2001-05-22,5,-1,1.0,-0.6689042709374649
2001-05-30,2001-05-31,2,-1,1.0,-1.6042204562563258
2001-06-06,2001-06-28,17,1,1.1764705882352942,-3.439510452878905
2001-07-12,2001-11-15,91,1,2.3736263736263736,11.598724219039262
2001-11-26,2001-11-29,4,-1,1.0,-3.9207217243652472
2002-01-14,2002-01-23,8,1,1.0,-1.6418617009623167
2002-02-05,2002-02-13,7,1,1.0,-1.6726108837379037
2002-02-18,2002-03-04,11,1,1.0,-1.594424712040258
2002-03-11,2002-04-03,18,-1,1.0,-1.6420635270956367
2002-04-15,2002-05-14,22,1,1.3636363636363635,-1.536795571129832
2002-05-22,2002-10-21,109,1,1.9174311926605505,26.893197137336095
2002-10-28,2002-11-22,20,1,1.6,-2.612608693467618
2002-12-09,2003-03-20,74,1,1.7297297297297298,6.252080921735396
2003-03-28,2003-07-03,70,1,2.0285714285714285,16.781276998380505
2003-07-18,2003-08-28,30,-1,1.0,5.57800905054853
2003-09-03,2003-09-05,3,-1,1.0,-4.659596375989544
2003-09-25,2003-10-03,7,1,1.0,-1.3002032593490203
2003-11-18,2003-11-28,9,1,1.0,-3.0065075031771875
2003-12-18,2004-01-02,12,1,1.0,-3.037924567764389
2004-01-12,2004-01-28,13,1,1.0,-2.211038671019588
2004-02-04,2004-04-02,43,1,1.3953488372093024,-0.6139448130298475
2004-04-14,2004-05-27,32,-1,1.15625,0.5714161193821727
2004-06-03,2004-06-15,9,-1,1.0,-0.9719210441733686
2004-07-05,2004-07-27,17,1,1.0,-1.7204778463131567
2004-08-03,2004-11-09,71,1,1.619718309859155,-1.3640843103233733
2004-11-18,2004-11-26,7,1,1.0,-1.700226126045853
2004-12-02,2004-12-03,2,-1,1.0,-1.997038678724816
2004-12-09,2004-12-27,13,1,1.0769230769230769,-1.8787833874720095
2005-01-04,2005-01-04,1,1,1.0,-0.02617702443670678
2005-01-14,2005-02-18,26,1,1.5384615384615385,-2.60545275531872
2005-02-23,2005-04-01,28,-1,1.5,0.4781540852825006
2005-04-14,2005-07-05,59,1,1.9152542372881356,-0.2553506173448604
2005-07-19,2005-07-20,2,-1,1.0,-0.28676021028755705
2005-07-22,2005-08-15,17,-1,1.1764705882352942,-1.0798797729205623
2005-08-25,2005-09-15,16,1,1.3125,-1.7044044714465587
2005-09-28,2005-11-22,40,-1,2.25,2.896826831119025
2005-12-01,2005-12-15,11,-1,1.0909090909090908,-0.9073106196172234
2005-12-28,2006-01-10,10,1,1.0,-0.7087204598244886
2006-01-18,2006-01-24,5,1,1.0,-0.6767780811856182
2006-01-26,2006-07-20,126,-1,2.492063492063492,5.6625442638274235
2006-08-01,2006-08-14,10,1,1.5,-1.613620976651684
2006-08-17,2006-10-10,39,1,2.3846153846153846,-1.6820836491547566
2006-10-16,2006-10-18,3,-1,1.0,-0.297894574669311
2006-10-24,2006-10-26,3,-1,1.0,-1.454112735547238
2006-10-30,2006-12-22,40,1,1.725,-4.081481398748638
2006-12-29,2007-01-04,5,-1,1.0,-1.2046802782542083
2007-01-12,2007-02-07,19,-1,1.894736842105263,-1.3337174747345624
2007-02-13,2007-02-14,2,-1,1.0,-1.0786310759406175
2007-02-19,2007-03-30,30,1,1.5,0.9796154737506976
2007-04-09,2007-04-18,8,-1,1.0,-1.2040336952314838
2007-04-24,2007-04-27,4,1,1.0,-1.0163474748502952
2007-05-01,2007-05-11,9,1,1.0,-0.5164658466332115
