index,US10
1982-11-09,0.6348156952954875
1982-11-10,0.8535540588061163
1982-11-11,-1.3999063290600189
1982-11-12,-0.19061166605617297
1982-11-15,-1.547390315489261
1982-11-16,-3.4609302773510264
1982-11-17,-0.7187701385277245
1982-11-18,1.165247681672077
1982-11-19,1.506556927945213
1982-11-22,0.4543431883715199
1982-11-23,-0.9547873326975709
1982-11-24,-1.303896298732754
1982-11-30,-0.9859715466117414
1982-12-01,-0.6673426122767334
1982-12-02,0.39846131203549184
1982-12-03,4.26922696075025
1982-12-06,4.3735601424591986
1982-12-07,4.053515660736928
1982-12-08,1.3452779408392734
1982-12-09,1.9550158996187061
1982-12-10,-0.20627578652184786
1982-12-13,1.2555163277169878
1982-12-14,3.0174836464326837
1982-12-15,2.523780973883838
1982-12-16,0.6376865613790805
1982-12-17,1.207142337525191
1982-12-20,0.6334075308531251
1982-12-21,3.765209437372463
1982-12-22,3.1234412728888827
1982-12-23,4.414720086604373
1982-12-29,3.6499163656498856
1982-12-30,3.745681950655233
1983-01-05,3.8405348219870294
1983-01-06,3.458222812166567
1983-01-07,3.649056524842953
1983-01-10,3.8411358330742162
1983-01-11,5.196439529412977
1983-01-12,5.4892441038137285
1983-01-13,5.788433406836768
1983-01-14,6.298839961277003
1983-01-17,6.298839961277003
1983-01-18,6.298839961277003
1983-01-19,4.211988308972758
1983-01-20,3.6995308399739635
1983-01-21,0.8591663648216397
1983-01-24,-0.6019736546744259
1983-01-25,0.6429205567057839
1983-01-26,-0.24413228706507972
1983-01-27,-0.0380043896970772
1983-01-28,-0.4988151568222632
1983-01-31,-1.3003127144569637
1983-02-01,-1.1342308917301147
1983-02-02,-1.1342308917301147
1983-02-03,-1.703381940633697
1983-02-04,-2.1157828636842457
1983-02-07,-1.8724308911671428
1983-02-08,-1.8724308911671428
1983-02-09,-1.9226702298257736
1983-02-10,-1.4757257529654733
1983-02-11,-1.306591056240114
1983-02-14,-1.2907012911955285
1983-02-15,-1.4125774432084293
1983-02-16,-1.2774206573826663
1983-02-17,-1.0177890509034837
1983-02-18,-0.7215732876717174
1983-02-24,-0.48964563715746534
1983-02-25,0.40548285574113496
1983-02-28,0.093005496008991
1983-03-01,0.5897571839744487
1983-03-02,0.5492651447652319
1983-03-03,0.7791103429026336
1983-03-04,0.21001709400203517
1983-03-07,-1.1660721987898248
1983-03-08,-1.8361850245698141
1983-03-09,-1.7855644072708454
1983-03-10,-2.1443006378761176
1983-03-11,-2.397632018873108
1983-03-14,-1.4507234315862538
1983-03-15,-1.0090711093102667
1983-03-16,-1.517481157035061
1983-03-17,-1.7211252528943954
1983-03-18,-1.567151999871208
1983-03-21,-1.8284950261538313
1983-03-22,-1.985335578624725
1983-03-23,-1.3076102213110063
1983-03-24,-0.9928122436574149
1983-03-25,-1.8645990615907215
1983-03-28,-1.7611493939006517
1983-03-29,-1.4483908786899757
1983-03-30,-1.2892363509232507
1983-03-31,-1.561816584671516
1983-04-06,-1.4057533707948378
1983-04-07,-1.7949548088128764
1983-04-08,-2.1393983479255363
1983-04-11,-0.9700674383008812
1983-04-12,-1.0876785056713856
1983-04-13,-0.650649453515395
1983-04-14,0.8155347346300745
1983-04-15,0.4039340630994648
1983-04-18,0.9942893519953921
1983-04-19,-0.9276097632374136
1983-04-20,-0.6312820081987747
1983-04-21,-1.5616538637276967
1983-04-22,-1.4848155156406029
1983-04-25,-1.0117196235002068
1983-04-26,-0.44234322008195326
1983-04-27,0.8248995311622487
1983-04-28,0.91203152710011
1983-04-29,1.3737252426430535
1983-05-02,1.4717126905128053
1983-05-03,1.9904848029371536
1983-05-04,3.8605511938145654
1983-05-05,2.6104974340176668
1983-05-06,3.189539041705136
1983-05-09,0.8574475931494963
1983-05-10,2.465195201226389
1983-05-11,2.1127611697646875
1983-05-12,1.2623985110278957
1983-05-13,1.7533043523302982
1983-05-16,-1.6717192643131873
1983-05-17,-2.2034127346389876
1983-05-18,-2.412553168676679
1983-05-19,-3.962410825011764
1983-05-20,-4.436761117649446
1983-05-23,-4.800032982061064
1983-05-24,-4.5400661135222675
1983-05-25,-4.623737418339246
1983-05-26,-5.508838768406821
1983-05-27,-5.582014881148267
1983-06-02,-5.688422120040737
1983-06-03,-5.840286730843703
1983-06-06,-5.459774817266528
1983-06-07,-6.09682887057107
1983-06-08,-6.72823672390872
1983-06-09,-6.3839738522729395
1983-06-10,-6.43756687738658
1983-06-13,-5.7761134042398465
1983-06-14,-5.914719270979274
1983-06-15,-5.799068430363718
1983-06-16,-5.505645932467962
1983-06-17,-5.694155776209997
1983-06-20,-6.082690845175332
1983-06-21,-5.987088690446329
1983-06-22,-6.1166679531895145
1983-06-23,-6.184574096145878
1983-06-24,-6.547575876426171
1983-06-27,-6.714164463656425
1983-06-28,-6.678702852424756
1983-06-29,-6.696044137333712
1983-06-30,-6.735086311019456
1983-07-01,-6.753626417988235
1983-07-07,-6.604799468492573
1983-07-08,-6.443936190779198
1983-07-11,-6.644673354028086
1983-07-12,-6.242223075521968
1983-07-13,-6.300356819339914
1983-07-14,-6.438276145317867
1983-07-15,-6.026404682802333
1983-07-18,-6.726480136018886
1983-07-19,-6.923661996230079
1983-07-20,-7.183436923666497
1983-07-21,-6.898205262425838
1983-07-22,-6.372507292917151
1983-07-25,-6.648051690857104
1983-07-26,-6.265602220387878
1983-07-27,-6.163352106270425
1983-07-28,-5.347751207517993
1983-07-29,-4.7541160802413
1983-08-01,-4.709591794681622
1983-08-02,-4.860980468126474
1983-08-03,-4.805201807660309
1983-08-04,-3.15179279801473
1983-08-05,-3.341375366953403
1983-08-08,-2.5715935505902454
1983-08-09,-2.9570060389008668
1983-08-10,-2.2886635817117584
1983-08-11,-3.6529053131707845
1983-08-12,-5.587051402297794
1983-08-15,-8.121907832662789
1983-08-16,-8.426779196362377
1983-08-17,-9.789264493038608
1983-08-18,-8.807864772085495
1983-08-19,-8.257535706935148
1983-08-22,-10.807390512387183
1983-08-23,-10.421631375999285
1983-08-24,-10.63478478575297
1983-08-25,-10.021725854695207
1983-08-26,-9.97222493705231
1983-08-29,-8.371998856149265
1983-08-30,-8.0106815102309
1983-08-31,-7.449816783996999
1983-09-01,-7.936981741557858
1983-09-02,-7.589801730180512
1983-09-08,-7.332629877356489
1983-09-09,-7.698779231947039
1983-09-12,-8.585325794760855
1983-09-13,-8.438228000146818
1983-09-14,-7.421610295757386
1983-09-15,-6.9952977826931555
1983-09-16,-8.017790871258246
1983-09-19,-8.200456093942975
1983-09-20,-8.742146261374828
1983-09-21,-8.398975431526479
1983-09-22,-8.736153351701692
1983-09-23,-9.545763505313687
1983-09-26,-9.9011424078567
1983-09-27,-9.647388183924733
1983-09-28,-9.502254758307549
1983-09-29,-9.502254758307549
1983-09-30,-9.676764996764364
1983-10-03,-9.588143173542319
1983-10-04,-9.588143173542319
1983-10-05,-9.983118814276192
1983-10-06,-9.983118814276192
1983-10-07,-9.930164516106743
1983-10-10,-9.868004062506374
1983-10-11,-9.788058668028654
1983-10-12,-9.776908504791649
1983-10-13,-9.74230659980776
1983-10-14,-9.815615163164292
1983-10-17,-9.903773682916095
1983-10-18,-9.865878302531483
1983-10-19,-9.898299741664252
1983-10-20,-9.896543854127792
1983-10-21,-9.900669282896557
1983-10-24,-9.962853526545556
1983-10-25,-9.962778878996126
1983-10-26,-9.964577192247326
1983-10-27,-9.961121153101981
1983-10-28,-9.950807348125645
1983-10-31,-9.901871986872369
1983-11-01,-9.986213892933016
1983-11-02,-9.964786451770724
1983-11-03,-9.853692772071964
1983-11-04,-9.662699819100261
1983-11-07,-9.716789647545498
1983-11-08,-9.802009541072321
1983-11-09,-9.706032663145859
1983-11-10,-10.221131251473015
1983-11-11,-10.738285876967835
1983-11-14,-10.445399791741716
1983-11-15,-10.357818156786102
1983-11-16,-10.335631480398222
1983-11-17,-10.335631480398222
1983-11-18,-10.266530465176405
1983-11-21,-10.599314406191617
1983-11-22,-10.904820227086686
1983-11-23,-10.867952264223234
1983-11-29,-10.975184494395219
1983-11-30,-10.902126782008171
1983-12-01,-10.884817664883006
1983-12-02,-10.714075913928845
1983-12-05,-10.714075913928845
1983-12-06,-10.726498150359532
1983-12-07,-10.63963239609137
1983-12-08,-10.382508428160886
1983-12-09,-10.340774700835853
1983-12-12,-10.493711609347589
1983-12-13,-10.146766542705688
1983-12-14,-10.014007578549656
1983-12-15,-10.207149896219992
1983-12-16,-10.72231569170482
1983-12-19,-10.809942902219671
1983-12-20,-10.809942902219671
1983-12-21,-11.002525133218144
1983-12-22,-11.544883782315118
1983-12-23,-11.403879939820404
1983-12-29,-11.629541751387562
1983-12-30,-11.4460248899933
1984-01-05,-11.4460248899933
1984-01-06,-11.764099348387013
1984-01-09,-11.635541539111205
1984-01-10,-11.968748375548488
1984-01-11,-11.778621966722792
1984-01-12,-11.669908031797283
1984-01-13,-12.763241170348083
1984-01-16,-12.826334731233546
1984-01-17,-12.73591966897316
1984-01-18,-12.685634180242577
1984-01-19,-12.703494240713775
1984-01-20,-12.697251525155917
1984-01-23,-12.691004976311183
1984-01-24,-12.697100648339843
1984-01-25,-12.697100648339843
1984-01-26,-12.656612016791435
1984-01-27,-12.674188705353561
1984-01-30,-12.738329687435746
1984-01-31,-12.738329687435746
1984-02-01,-12.656136534322393
1984-02-02,-12.284933865626979
1984-02-03,-12.35576923702183
1984-02-06,-12.722613898087587
1984-02-07,-12.8073910630091
1984-02-08,-12.852193388384636
1984-02-09,-13.04009859519094
1984-02-10,-13.56458617755678
1984-02-13,-14.127186540372916
1984-02-14,-13.806512588457732
1984-02-15,-13.70944576266313
1984-02-16,-13.70944576266313
1984-02-17,-14.11788530047653
1984-02-23,-14.272475931424244
1984-02-24,-14.28059976701862
1984-02-27,-14.2257121674365
1984-02-28,-14.174968454528313
1984-02-29,-14.373966377283775
1984-03-01,-14.277125957096604
1984-03-02,-14.544520882981104
1984-03-05,-14.090922507629777
1984-03-06,-13.945155694668188
1984-03-07,-13.261114969996001
1984-03-08,-13.115614139959785
1984-03-09,-12.885937560959992
1984-03-12,-13.152850782761227
1984-03-13,-13.003725903168228
1984-03-14,-12.421611273687638
1984-03-15,-12.5135921865557
1984-03-16,-11.907101693746425
1984-03-19,-10.357726476566242
1984-03-20,-10.592434758174596
1984-03-21,-10.721043228936377
1984-03-22,-10.162765914770189
1984-03-23,-9.708533094384686
1984-03-26,-10.528132542567281
1984-03-27,-10.185689704485611
1984-03-28,-12.191685006008978
1984-03-29,-13.247642476567966
1984-03-30,-10.074470027159999
1984-04-02,-9.904842481218147
1984-04-03,-8.118257795439355
1984-04-04,-7.559550985750008
1984-04-05,-8.746637257023037
1984-04-06,-12.378040291810066
1984-04-09,-13.083712958410565
1984-04-10,-12.021494379856613
1984-04-11,-12.564764603292367
1984-04-12,-14.392142831003662
1984-04-13,-10.746888301823553
1984-04-16,-9.77409833607188
1984-04-17,-10.782049056769772
1984-04-18,-7.405833775348681
1984-04-19,-5.927513552816766
1984-04-25,-6.85047092470199
1984-04-26,-7.785628852686221
1984-04-27,-5.150091446408922
1984-04-30,-4.390288985764579
1984-05-01,-4.19246730511198
1984-05-02,-3.987078274154665
1984-05-03,-3.5610572714714683
1984-05-04,1.083677360501678
1984-05-07,3.013140810405379
1984-05-08,0.9789649366840569
1984-05-09,4.830819178935886
1984-05-10,5.753197436880209
1984-05-11,15.040968877218042
1984-05-14,16.122414027218348
1984-05-15,12.85098909054241
1984-05-16,9.584452215545603
1984-05-17,14.188675456439093
1984-05-18,11.807139054569049
1984-05-21,10.605623219443494
1984-05-22,13.069464155034737
1984-05-23,12.81096183546271
1984-05-24,20.04779320434078
1984-05-25,21.386623391536496
1984-05-31,18.70229556605598
1984-06-01,5.83947303751875
1984-06-04,0.43030490554474277
1984-06-05,-0.15436831488174763
1984-06-06,3.1622226714103308
1984-06-07,4.750362349053705
1984-06-08,2.716157210687764
1984-06-11,5.311872392567274
1984-06-12,4.0863377844493565
1984-06-13,0.6235359318535805
1984-06-14,-1.4863584583733935
1984-06-15,-6.30982888334255
1984-06-18,-5.8223376577180685
1984-06-19,-3.231941764084978
1984-06-20,3.073099243118871
1984-06-21,4.435362179323077
1984-06-22,5.211366137383111
1984-06-25,4.5746942608718255
1984-06-26,5.7000747181614075
1984-06-27,4.710389178927876
1984-06-28,5.537797121490828
1984-06-29,6.723242823228204
1984-07-02,6.723242823228204
1984-07-03,3.887366240991641
1984-07-09,-1.7351457999698505
1984-07-10,-1.1922574584716905
1984-07-11,-0.38184339253569677
1984-07-12,-2.810499378677067
1984-07-13,-4.561184604553947
1984-07-16,-4.678564756359604
1984-07-17,-3.763089561049049
1984-07-18,-4.55087716459871
1984-07-19,-5.634558683820423
1984-07-20,-3.8914844362760492
1984-07-23,-4.781766441413904
1984-07-24,-4.592539717292732
1984-07-25,-8.29639798195776
1984-07-26,-9.615752259898546
1984-07-27,-9.311953365648662
1984-07-30,-8.416828369254759
1984-07-31,-9.34135114999457
1984-08-01,-9.877455610290397
1984-08-02,-10.148453162277814
1984-08-03,-10.843085660731234
1984-08-06,-10.340578730252293
1984-08-07,-10.477876201325909
1984-08-08,-10.492435474751094
1984-08-09,-10.550573252884254
1984-08-10,-10.518892340519193
1984-08-13,-10.518647819793149
1984-08-14,-10.491261361227288
1984-08-15,-10.55707102743363
1984-08-16,-10.464102607181703
1984-08-17,-10.450180778601414
1984-08-20,-10.467782111504375
1984-08-21,-10.193528204188752
1984-08-22,-10.344243404347198
1984-08-23,-10.51669417838581
1984-08-24,-10.358464648624732
1984-08-27,-11.130514542057968
1984-08-28,-11.063871087060662
1984-08-29,-11.23677466269941
1984-08-30,-11.166545227691815
1984-08-31,-10.914260768070205
1984-09-06,-10.131246486170786
1984-09-07,-9.57677242033922
1984-09-10,-8.979478962153086
1984-09-11,-8.557527343327799
1984-09-12,-8.452479359150178
1984-09-13,-7.572411498481935
1984-09-14,-7.12201446705717
1984-09-17,-7.0499553178639545
1984-09-18,-6.730023744154834
1984-09-19,-4.878340703285411
1984-09-20,-5.342137892026388
1984-09-21,-7.663720813075314
1984-09-24,-8.807327898485873
1984-09-25,-9.574364857941276
1984-09-26,-8.60389907640532
1984-09-27,-6.095221821751052
1984-09-28,-8.67959575356526
1984-10-01,-9.226253548558727
1984-10-02,-9.31883522377045
1984-10-03,-9.603156485442444
1984-10-04,-9.121523694604072
1984-10-05,-7.243249199569957
1984-10-08,-6.645844118012878
1984-10-09,-6.958240038277852
1984-10-10,-7.388954391602254
1984-10-11,-6.39525564996859
1984-10-12,-5.708659106123837
1984-10-15,-7.022695940837864
1984-10-16,-6.666660516488232
1984-10-17,-5.317970986359688
1984-10-18,-2.0310187819913006
1984-10-19,-0.05223680160160171
1984-10-22,0.5969802054696105
1984-10-23,2.2662663650646397
1984-10-24,3.3032223329547916
1984-10-25,1.2368068311583658
1984-10-26,-1.6390776620751057
1984-10-29,-1.3332871915664124
1984-10-30,3.752861039000721
1984-10-31,2.6875739920897423
1984-11-01,5.982682359494795
1984-11-02,5.497490678461703
1984-11-05,8.033670091012501
1984-11-06,8.566224406248391
1984-11-07,3.6859314950535405
1984-11-08,0.11474543032492512
1984-11-09,2.9835417946762144
1984-11-12,2.6579041485201182
1984-11-13,0.6567198026177445
1984-11-14,0.1646447579150223
1984-11-15,2.1566615004489087
1984-11-16,3.007378502951763
1984-11-19,4.935626437560514
1984-11-20,6.925573696870724
1984-11-21,10.675007094067634
1984-11-27,10.675007094067634
1984-11-28,7.110862313011301
1984-11-29,6.315987738203166
1984-11-30,0.7071663716381016
1984-12-03,0.8780361364455924
1984-12-04,2.079195805597611
1984-12-05,1.7320376033185703
1984-12-06,-0.35307159663386933
1984-12-07,-3.1806607931994524
1984-12-10,-1.6491415178976787
1984-12-11,0.18044454014025657
1984-12-12,1.2470200481327964
1984-12-13,-2.4454199625167816
1984-12-14,0.12212301955527582
1984-12-17,1.8456310561506983
1984-12-18,5.848201469146774
1984-12-19,4.307971355013107
1984-12-20,4.180759806531675
1984-12-21,4.569670338684295
1984-12-24,5.233515134490618
1984-12-28,5.921257664894419
1984-12-31,3.247306776769676
1985-01-04,2.5034454232553127
1985-01-07,6.465853488025464
1985-01-08,7.051153655381848
1985-01-09,6.807668871421635
1985-01-10,6.682174358848414
1985-01-11,4.356177063200817
1985-01-14,3.8636598799621558
1985-01-15,5.473224156289325
1985-01-16,5.85001994813017
1985-01-17,6.236464498426231
1985-01-18,8.352967678616752
1985-01-21,7.949006850037743
1985-01-22,11.543026275701141
1985-01-23,12.088604660999568
1985-01-24,16.2543688174992
1985-01-25,14.968092823230439
1985-01-28,14.672393015698738
1985-01-29,14.51752909327566
1985-01-30,14.679335778616952
1985-01-31,13.157247303901155
1985-02-01,9.2303143882984
1985-02-04,8.76263005208482
1985-02-05,9.707140231660926
1985-02-06,7.293267857132624
1985-02-07,6.679034206623857
1985-02-08,8.515773044980058
1985-02-11,7.280768559989004
1985-02-12,7.432948961742025
1985-02-13,7.432948961742025
1985-02-14,9.907043631233936
1985-02-15,7.434856252396971
1985-02-21,5.594241782794107
1985-02-22,4.003041656352968
1985-02-25,3.7937946481329865
1985-02-26,4.792384657895132
1985-02-27,2.1038307621507712
1985-02-28,1.7881272689123984
1985-03-01,2.5175733936097844
1985-03-04,1.6336654223168434
1985-03-05,2.419950172804186
1985-03-06,1.920000174619907
1985-03-07,1.420289391922247
1985-03-08,2.9464275576684518
1985-03-11,2.982802016641495
1985-03-12,2.7040781323694363
1985-03-13,2.186323929212586
1985-03-14,2.186323929212586
1985-03-15,2.112107568541699
1985-03-18,1.8563293009355109
1985-03-19,1.988919120078414
1985-03-20,2.145284372138656
1985-03-21,2.230379203756905
1985-03-22,2.175011320929654
1985-03-25,2.240703232384722
1985-03-26,2.341976111925148
1985-03-27,2.2314924551248394
1985-03-28,2.3011312631099345
1985-03-29,2.416566004176346
1985-04-01,2.3926146839959195
1985-04-02,2.333632205201619
1985-04-03,2.32266699716972
1985-04-04,2.2625698858136367
1985-04-10,2.4632986753167163
1985-04-11,2.8679547132073324
1985-04-12,2.8239887002909025
1985-04-15,3.069519748188876
1985-04-16,3.731104339345803
1985-04-17,3.34089481577049
1985-04-18,4.278404868937402
1985-04-19,4.12772644574364
1985-04-22,4.587602031688576
1985-04-23,3.479491673834745
1985-04-24,3.411967070925659
1985-04-25,2.172466502705084
1985-04-26,2.8958795322400643
1985-04-29,1.6798049982355456
1985-04-30,2.57575304339992
1985-05-01,3.1932478270290554
1985-05-02,3.679633952275685
1985-05-03,4.793394284596997
1985-05-06,5.154316228464517
1985-05-07,5.154316228464517
1985-05-08,3.307763762921545
1985-05-09,5.087224636655274
1985-05-10,7.605303087719628
1985-05-13,7.402238152000762
1985-05-14,10.432923479060484
1985-05-15,9.777004823117053
