instrument,start,end,n_days,capital_usd,ann_return_gross_pct,ann_return_net_pct,ann_vol_pct,sharpe_gross,sharpe_net,skew_daily,skew_per_trade,n_trades,median_trade_days,median_trade_return_pct,win_rate_pct,max_drawdown_pct,max_drawdown_pct_additive,ann_subsystem_turnover,reconciliation_diff_pct,market_skew_daily
US10,1982-08-30,2026-04-03,11375,50000,8.873,7.843,22.431,0.396,0.35,0.176,4.382,342,12,-1.116,23.4,-55.347,-74.543,34.41,-1.17,-0.024
SP500,1982-09-14,2026-04-03,11364,50000,-0.112,-0.231,24.534,-0.005,-0.009,-1.988,4.327,335,12,-1.306,19.7,-85.036,-120.874,33.47,0.8534,-0.247
