horizon_days,US10,SP500
1,-0.02366167125271358,-0.24695805286927486
5,-0.06284595078319165,-0.3316102783116966
10,-0.01058104766599988,-0.2837060117676322
20,-0.04906212751876779,-0.2624656916424409
40,0.2441378564658654,-0.18555655108781974
60,0.2043901446378199,-0.03681983410782705
100,-0.023882331533628714,-0.12932064928702156
150,-0.15478498853934228,-0.08077383727420555
200,-0.044598717808638666,-0.2193776420945216
250,-0.24661983817048347,-0.5361947012118653
