DATETIME,monthly_return
2009-02-27,-0.00915371
2009-03-31,0.04514554
2009-04-30,-0.03352234
2009-05-29,-0.02640207
2009-06-30,-0.00833038
2009-07-31,0.01161751
2009-08-31,0.01448763
2009-09-30,0.01236503
2009-10-30,0.00309651
2009-11-30,0.02778254
2009-12-31,-0.04788920
2010-01-29,0.03031896
2010-02-26,0.00782446
2010-03-31,-0.01333333
2010-04-30,0.01813205
2010-05-31,0.02990591
2010-06-30,0.02789559
2010-07-30,0.01285510
2010-08-31,0.02663742
2010-09-30,0.00412088
2010-10-29,0.00227998
2010-11-30,-0.01198059
2010-12-31,-0.03607060
2011-01-31,0.00366242
2011-02-28,-0.00491829
2011-03-31,-0.00015944
2011-04-29,0.02152766
2011-05-31,0.02856697
2011-06-30,-0.00273183
2011-07-29,0.03271952
2011-08-31,0.04067197
2011-09-30,0.00962900
2011-10-31,-0.00925666
2011-11-30,0.00891846
2011-12-30,0.01599551
2012-01-31,0.00994338
2012-02-29,-0.00888828
2012-03-30,-0.01296909
2012-04-30,0.02502097
2012-05-31,0.02304650
2012-06-29,-0.00479872
2012-07-31,0.01098312
2012-08-31,0.00119237
2012-09-28,-0.00198491
2012-10-31,-0.00384513
2012-11-30,0.00945029
2012-12-31,-0.00725211
2013-01-31,-0.01275070
2013-02-28,0.01224270
2013-03-29,0.00372147
2013-04-30,0.01165254
2013-05-31,-0.02657080
2013-06-28,-0.02285868
2013-07-31,-0.00110087
2013-08-30,-0.00909216
2013-09-30,0.01876820
2013-10-31,0.00723258
2013-11-29,-0.00501287
2013-12-31,-0.02028867
2014-01-31,0.02404448
2014-02-28,0.00285016
2014-03-31,-0.00879686
2014-04-30,0.00764610
2014-05-30,0.01490515
2014-06-30,-0.00173565
2014-07-31,-0.00414605
2014-08-29,0.01477303
2014-09-30,-0.00899947
2014-10-31,0.01428953
2014-11-28,0.01184990
2014-12-31,-0.00390371
2015-01-30,0.03540170
2015-02-27,-0.02138531
2015-03-31,0.01050732
2015-04-30,-0.00382751
2015-05-29,-0.00294570
2015-06-30,-0.01181760
2015-07-31,0.01247888
2015-08-31,0.00256772
2015-09-30,0.01254962
2015-10-30,-0.00518528
2015-11-30,-0.00851767
2015-12-31,-0.00461598
2016-01-29,0.03027180
2016-02-29,0.01075269
2016-03-31,-0.00098961
2016-04-29,-0.00346706
2016-05-31,-0.00273360
2016-06-30,0.02703713
2016-07-29,0.00097052
2016-08-31,-0.01018058
2016-09-30,0.00306110
2016-10-31,-0.01196289
2016-11-30,-0.03657030
2016-12-30,-0.00230828
2017-01-31,0.00295630
2017-02-28,0.00461361
2017-03-31,0.00025513
2017-04-28,0.00931004
2017-05-31,0.00669699
2017-06-30,-0.00577382
2017-07-31,0.00302992
2017-08-31,0.01132788
2017-09-29,-0.01406347
2017-10-31,-0.00290331
2017-11-30,-0.00468414
2017-12-29,-0.00050878
2018-01-31,-0.01959786
2018-02-28,-0.00791796
2018-03-30,0.00837368
2018-04-30,-0.01245621
2018-05-31,0.00788333
2018-06-29,-0.00078217
2018-07-31,-0.00587084
2018-08-31,0.00524934
2018-09-28,-0.01135770
2018-10-31,-0.00290506
2018-11-30,0.00953516
2018-12-31,0.01915256
2019-01-31,0.00566353
2019-02-28,-0.00627160
2019-03-29,0.01970634
2019-04-30,-0.00555766
2019-05-31,0.02032262
2019-06-28,0.01132827
2019-07-31,-0.00295421
2019-08-30,0.02753086
2019-09-30,-0.01033281
2019-10-31,-0.00546315
2019-11-29,-0.00122070
2019-12-31,-0.00782205
2020-01-31,0.02032520
2020-02-28,0.02318001
2020-03-31,0.03575221
2020-04-30,0.00307587
2020-05-29,0.00136286
2020-06-30,0.00113417
2020-07-31,0.00713719
2020-08-31,-0.00607424
2020-09-30,0.00237664
2020-10-30,-0.01004855
2020-11-30,0.00250912
2020-12-31,-0.00034130
2021-01-29,-0.00625925
2021-02-26,-0.02496564
2021-03-31,-0.01327226
2021-04-30,0.00868944
2021-05-31,0.00460231
2021-06-30,0.00387642
2021-07-30,0.01673297
2021-08-31,-0.00437335
2021-09-30,-0.01098139
2021-10-29,-0.00899953
2021-11-30,0.00625074
2021-12-31,-0.00304735
2022-01-31,-0.01739948
2022-02-28,-0.00406796
2022-03-31,-0.03676117
2022-04-29,-0.03080569
2022-05-31,0.00823575
2022-06-30,-0.00944480
2022-07-29,0.02396598
2022-08-31,-0.03888260
2022-09-30,-0.03875360
2022-10-31,-0.00939798
2022-11-30,0.02777396
2022-12-30,-0.01645485
2023-01-31,0.02108270
2023-02-28,-0.03103770
2023-03-31,0.03120704
2023-04-28,0.00319957
2023-05-31,-0.01594684
2023-06-30,-0.01971641
2023-07-31,-0.00633696
2023-08-31,-0.00790240
2023-09-29,-0.02585243
2023-10-31,-0.01979630
2023-11-30,0.03453827
2023-12-29,0.02489744
2024-01-31,-0.00069013
2024-02-29,-0.02348066
2024-03-29,0.00212164
2025-04-30,0.00931546
2025-05-30,-0.01398406
2025-06-30,0.01248050
2025-07-31,-0.01022552
2025-08-29,0.01344466
2025-09-30,-0.00027929
2025-10-31,0.00335242
2025-11-28,-0.00013922
2026-02-27,0.01420217
2026-03-31,-0.02429984
2026-04-30,-0.00028141
