DATETIME,monthly_return
2001-09-28,-0.16596565
2001-10-31,0.05022063
2001-11-30,0.06502601
2001-12-31,0.00150291
2002-01-31,-0.03076346
2002-02-28,-0.01161215
2002-03-29,0.06422557
2002-04-30,-0.04011040
2002-05-31,-0.04025302
2002-06-28,-0.16956261
2002-07-31,-0.20466570
2002-08-30,0.00695494
2002-09-30,-0.33393393
2002-10-31,0.28990081
2002-11-29,0.10101363
2002-12-31,-0.15555556
2003-01-31,-0.28421053
2003-02-28,0.10189076
2003-03-31,-0.01572927
2003-04-30,0.29104116
2003-05-30,0.11777944
2003-06-30,-0.03255034
2003-07-31,0.08359348
2003-08-29,0.02432778
2003-09-30,-0.05000000
2003-10-31,0.12565789
2003-11-28,0.02834600
2003-12-31,0.07132708
2004-01-30,-0.04854111
2004-02-27,0.05770839
2004-03-31,-0.04691618
2004-04-30,0.05392699
2004-05-31,-0.03542377
2004-06-30,0.01877040
2004-07-30,-0.03257677
2004-08-31,0.03560585
2004-09-30,0.05223881
2004-10-29,0.01747720
2004-11-30,0.03410505
2004-12-31,0.04236880
2005-01-31,0.01316397
2005-02-28,0.05516298
2005-03-31,-0.02333117
2005-04-29,-0.05153727
2005-05-31,0.07835821
2005-06-30,0.06185121
2005-07-29,0.06069246
2005-08-31,0.00921659
2005-09-30,0.06088280
2005-10-31,-0.05810617
2005-11-30,0.04398324
2005-12-30,0.06128032
2006-01-31,0.04347826
2006-02-28,0.00774045
2006-03-31,0.06340905
2006-04-28,0.01659751
2006-05-31,-0.08994709
2006-06-30,0.02807309
2006-07-31,0.02940701
2006-08-31,-0.00376707
2006-09-29,0.01402237
2006-10-31,0.04785581
2006-11-30,-0.02416963
2006-12-29,0.04148306
2007-01-31,-0.00846221
2007-02-28,-0.00941730
2007-03-30,0.04322638
2007-04-30,0.04029617
2007-05-31,0.03873529
2007-06-29,-0.00276716
2007-07-31,-0.07518499
2007-08-31,-0.00871553
2007-09-28,0.03992505
2007-10-31,0.06347886
2007-11-30,-0.07363482
2007-12-31,-0.00830051
2008-01-31,-0.16484608
2008-02-29,-0.01528792
2008-03-31,-0.04950837
2008-04-30,0.14101633
2008-05-30,-0.01908700
2008-06-30,-0.13734393
2008-07-31,-0.09116541
2008-08-29,0.10155119
2008-09-30,-0.26699211
2008-10-31,-0.30455943
2008-11-28,-0.06924494
2008-12-31,0.10170162
2009-01-30,-0.20545977
2009-02-27,-0.26898734
2009-03-31,0.14965986
2009-04-30,0.34642281
2009-05-29,0.14662405
2009-06-30,-0.09547038
2009-07-31,0.27580894
2009-08-31,0.20621981
2009-09-30,0.10262829
2009-10-30,-0.04086266
2009-11-30,0.09254438
2009-12-31,0.09077123
2010-01-29,-0.08460775
2010-02-26,0.08136255
2010-03-31,0.13021669
2010-04-30,-0.03657021
2010-05-31,-0.11792887
2010-06-30,-0.11071652
2010-07-30,0.17124736
2010-08-31,-0.01744886
2010-09-30,0.14309043
2010-10-29,0.04696429
2010-11-30,-0.03991131
2010-12-31,0.13803517
2011-01-31,-0.01873244
2011-02-28,0.04470251
2011-03-31,-0.01400944
2011-04-29,0.04586873
2011-05-31,-0.01978736
2011-06-30,-0.00843628
2011-07-29,-0.03585536
2011-08-31,-0.12543334
2011-09-30,-0.09747748
2011-10-31,0.17887802
2011-11-30,-0.01659610
2011-12-30,0.02789737
2012-01-31,0.03635450
2012-02-29,0.06741028
2012-03-30,-0.02195972
2012-04-30,-0.00449055
2012-05-31,-0.13330222
2012-06-29,0.10014358
2012-07-31,0.02707993
2012-08-31,0.02986023
2012-09-28,0.01326342
2012-10-31,0.01552511
2012-11-30,0.03941847
2012-12-31,0.00447008
2013-01-31,0.11857594
2013-02-28,0.02168891
2013-03-29,0.00841603
2013-04-30,0.03001993
2013-05-31,0.04571290
2013-06-28,-0.08870128
2013-07-31,0.08261421
2013-08-30,-0.01312859
2013-09-30,-0.01021499
2013-10-31,0.07860314
2013-11-29,-0.02325323
2013-12-31,0.02255382
2014-01-31,-0.04756600
2014-02-28,0.07403509
2014-03-31,-0.03615376
2014-04-30,0.03095695
2014-05-30,0.03145205
2014-06-30,-0.02018700
2014-07-31,0.00553025
2014-08-29,0.01401920
2014-09-30,-0.03190471
2014-10-31,-0.02504669
2014-11-28,0.04191549
2014-12-31,-0.02736022
2015-01-30,0.03468979
2015-02-27,0.04588438
2015-03-31,0.00143841
2015-04-30,0.01928799
2015-05-29,0.01962758
2015-06-30,-0.08864758
2015-07-31,0.02198873
2015-08-31,-0.09740329
2015-09-30,-0.04262565
2015-10-30,0.10008586
2015-11-30,-0.00501728
2015-12-31,-0.02577320
2016-01-29,-0.05946630
2016-02-29,0.02042314
2016-03-31,0.03906999
2016-04-29,0.02352941
2016-05-31,-0.00326797
2016-06-30,0.03256077
2016-07-29,0.08244826
2016-08-31,0.02599636
2016-09-30,0.01005620
2016-10-31,0.02537823
2016-11-30,-0.03246073
2016-12-30,0.06621409
2017-01-31,0.00046138
2017-02-28,0.03670909
2017-03-31,0.01628114
2017-04-28,-0.01461963
2017-05-31,0.05943497
2017-06-30,-0.03002096
2017-07-31,0.00726204
2017-08-31,0.00978457
2017-09-29,-0.00773481
2017-10-31,0.02698304
2017-11-30,-0.02485612
2017-12-29,0.05457189
2018-01-31,-0.00729986
2018-02-28,-0.05212844
2018-03-30,-0.02758383
2018-04-30,0.08917649
2018-05-31,0.03377554
2018-06-29,0.00055109
2018-07-31,0.00330474
2018-08-31,-0.02235119
2018-09-28,0.00778116
2018-10-31,-0.06646502
2018-11-30,-0.01091405
2018-12-31,-0.04775862
2019-01-31,0.03512584
2019-02-28,0.03410880
2019-03-29,0.03475981
2019-04-30,0.03277483
2019-05-31,-0.03901551
2019-06-28,0.04224656
2019-07-31,0.03729456
2019-08-30,-0.05560634
2019-09-30,0.03637683
2019-10-31,-0.01299712
2019-11-29,0.00733323
2019-12-31,0.03491194
2020-01-31,-0.02390137
2020-02-28,-0.12545525
2020-03-31,-0.14912281
2020-04-30,0.10757055
2020-05-29,-0.01222264
2020-06-30,0.02360556
2020-07-31,-0.03961317
2020-08-31,-0.00174284
2020-09-30,-0.01745878
2020-10-30,-0.06910168
2020-11-30,0.17624602
2020-12-31,0.03182474
2021-01-29,-0.00786370
2021-02-26,0.01083223
2021-03-31,0.05314515
2021-04-30,0.03524156
2021-05-31,0.01925843
2021-06-30,0.00823207
2021-07-30,-0.00948678
2021-08-31,0.02559271
2021-09-30,0.00466932
2021-10-29,0.01234286
2021-11-30,-0.02671784
2021-12-31,0.05652645
2022-01-31,0.02144478
2022-02-28,-0.02077959
2022-03-31,0.03607493
2022-04-29,0.00148316
2022-05-31,0.01163611
2022-06-30,-0.05785988
2022-07-29,0.02715501
2022-08-31,-0.00597897
2022-09-30,-0.06188854
2022-10-31,0.02634222
2022-11-30,0.07556827
2022-12-30,-0.01063681
2023-01-31,0.03607299
2023-02-28,0.01727198
2023-03-31,-0.03053486
2023-04-28,0.03080437
2023-05-31,-0.04949298
2023-06-30,0.00141303
2023-07-31,0.02652744
2023-08-31,-0.03113402
2023-09-29,0.02128112
2023-10-31,-0.04764882
2023-11-30,0.01932755
2023-12-29,0.03885232
2024-01-31,-0.01756319
2024-02-29,-0.00035053
2024-03-29,0.04670734
2025-04-30,0.06010050
2025-05-30,0.04089243
2025-06-30,-0.00194304
2025-07-31,0.04070086
2025-08-29,0.01122413
2025-09-30,0.01630246
2025-10-31,0.04328783
2026-01-30,0.11177144
2026-02-27,0.07071747
2026-03-31,-0.06572619
2026-04-30,0.02382587
