start,end,days,sign,avg_contracts,trade_return_pct
1990-05-09,1990-06-25,34,1,3.9705882352941178,0.29976070347185824
1990-06-27,1990-06-28,2,-1,1.0,-0.2710161710935805
1990-07-02,1990-07-23,16,1,2.125,-4.736031854957513
1990-07-25,1990-11-14,81,-1,3.2222222222222223,7.006158665206683
1990-11-21,1990-12-03,9,-1,1.0,-0.6562572830199358
1990-12-05,1990-12-31,19,1,1.368421052631579,-0.77379800349056
1991-01-03,1991-01-17,11,-1,3.8181818181818183,-6.22759813305676
1991-01-21,1991-05-15,83,1,3.7710843373493974,9.420613528484825
1991-05-22,1991-06-24,24,1,2.5833333333333335,-2.8560291258583983
1991-07-03,1991-08-19,34,1,2.6470588235294117,-2.9168006947311547
1991-08-22,1991-09-11,15,1,2.6666666666666665,-2.7081300117313774
1991-09-20,1991-10-04,11,1,1.1818181818181819,-1.4983207151894398
1991-10-07,1991-10-14,6,-1,1.8333333333333333,-1.7754320908199608
1991-10-16,1991-10-25,8,1,2.375,-2.2552975381257054
1991-10-29,1991-11-15,14,1,2.4285714285714284,-4.83036434109196
1991-11-20,1991-12-13,18,-1,1.4444444444444444,-0.5882195215971786
1991-12-23,1992-03-06,55,1,3.7636363636363637,0.18028554685655473
1992-03-18,1992-03-27,8,1,1.875,-1.386979861506794
1992-03-31,1992-04-10,9,-1,1.3333333333333333,-0.010086015156462957
1992-04-15,1992-06-10,41,1,2.048780487804878,-3.4574335529035185
1992-06-18,1992-06-29,8,-1,2.5,-1.54905977537001
1992-07-02,1992-08-24,38,1,2.3684210526315788,-4.237733895164137
1992-08-26,1992-08-28,3,-1,1.0,-0.12594088205882217
1992-09-03,1992-09-25,17,1,2.1176470588235294,-0.7029627087240644
1992-10-05,1992-10-19,11,-1,2.272727272727273,-1.1812744157343609
1992-10-21,1993-02-17,86,1,4.755813953488372,-0.49546903574107126
1993-02-19,1993-02-22,2,-1,1.0,-0.1408447168242025
1993-02-25,1993-04-06,29,1,3.793103448275862,1.375535014153053
1993-04-13,1993-04-22,8,1,2.375,-2.7694241223469565
1993-04-26,1993-05-03,6,-1,1.5,-1.0426933311819393
1993-05-05,1993-05-14,8,1,1.0,-0.4908962286121146
1993-05-20,1993-06-23,25,1,2.28,-2.057315160462633
1993-06-28,1993-07-06,7,1,1.5714285714285714,-1.5976693749995896
1993-07-07,1993-07-08,2,-1,1.0,-0.3467907327835826
1993-07-12,1993-11-05,85,1,4.129411764705883,-4.594948199759273
1993-11-11,1994-02-18,72,1,3.5,-4.457033974612077
1994-02-23,1994-02-24,2,1,1.0,-0.7557378615703608
