,US10,SP500
1982-08-30,0.0,
1982-08-31,0.0,
1982-09-01,0.0,
1982-09-02,0.0,
1982-09-03,0.0,
1982-09-06,0.0,
1982-09-07,0.0,
1982-09-08,0.0,
1982-09-09,0.0,
1982-09-10,0.0,
1982-09-13,0.0,
1982-09-14,0.0,0.0
1982-09-15,0.0,0.0
1982-09-16,0.0,0.0
1982-09-17,0.0,0.0
1982-09-20,0.0,0.0
1982-09-21,0.0,0.0
1982-09-22,-0.03463742671078536,0.0
1982-09-23,0.7153625732892146,0.0
1982-09-24,-0.3471374267107854,0.0
1982-09-27,-0.2221374267107854,0.0
1982-09-28,0.9028625732892146,0.0
1982-09-29,0.7778625732892146,0.0
1982-09-30,1.4653625732892146,-0.0006366004357632884
1982-10-01,3.3403625732892146,-0.08125560530975308
1982-10-04,0.7153625732892146,-0.19125560530978947
1982-10-05,1.2153625732892146,-0.16125560530974853
1982-10-06,2.9653625732892146,-1.1612556053097485
1982-10-07,6.965362573289214,-2.082809171675543
1982-10-08,7.840362573289214,-2.0851003826401238
1982-10-11,11.840362573289214,-0.9758831368622201
1982-10-12,11.652862573289214,-1.676665733643854
1982-10-13,12.402862573289214,0.12333426635615741
1982-10-14,10.465362573289214,-1.2274783450906308
1982-10-15,9.090362573289214,-1.0174783450907536
1982-10-18,10.715362573289214,1.022521654909369
1982-10-19,11.465362573289214,0.2425216549092598
1982-10-20,10.590362573289214,2.6725216549093687
1982-10-21,10.777862573289214,2.462521654909355
1982-10-22,9.402862573289214,0.8725216549093686
1982-10-25,6.840362573289214,-2.128346459345776
1982-10-26,8.666623267167434,-0.7300789341734331
1982-10-27,8.666623267167434,-1.0450789341734195
1982-10-28,8.666623267167434,-1.4359270616313529
1982-10-29,8.666623267167434,-1.3059270616313574
1982-11-01,8.618908021550183,-0.7259270616313165
1982-11-02,8.618908021550183,-0.445927061631321
1982-11-03,9.806408021550183,0.5532207448512158
1982-11-04,10.118908021550183,0.6123802369515683
1982-11-05,9.181408021550183,0.2715476777937633
1982-11-08,8.618908021550183,-0.22845232220623668
1982-11-09,8.993908021550183,1.5715476777936608
1982-11-10,9.118908021550183,-0.4784523222062369
1982-11-11,7.868908021550183,0.7456953720946264
1982-11-12,8.556408021550183,-0.5943046279053825
1982-11-15,7.789715319354497,-2.1567607448711756
1982-11-16,6.727215319354497,-2.2185046734038734
1982-11-17,8.289715319354496,-2.018504673403873
1982-11-18,9.352215319354496,-1.9685046734038731
1982-11-19,9.539715319354496,-2.268504673403873
1982-11-22,8.977215319354496,-2.6185046734038733
1982-11-23,8.227215319354496,-2.6352324151985616
1982-11-24,8.039715319354496,-2.7602324151985616
1982-11-25,8.039715319354496,-2.7602324151985616
1982-11-26,7.227215319354496,-2.875232415198582
1982-11-29,5.183630245527789,-2.745232415198564
1982-11-30,5.183630245527789,-3.245232415198564
1982-12-01,5.183630245527789,-3.191081841802805
1982-12-02,5.183630245527789,-3.1919239343916663
1982-12-03,5.183630245527789,-3.161923934391682
1982-12-06,5.183630245527789,-2.741923934391666
1982-12-07,5.183630245527789,-2.7035996879067627
1982-12-08,5.140842109233863,-3.423599687906756
1982-12-09,5.473347731734556,-3.918599687906749
1982-12-10,5.473347731734556,-4.054429742611423
1982-12-13,5.473347731734556,-3.804429742611423
1982-12-14,5.473347731734556,-4.744429742611455
1982-12-15,5.473347731734556,-4.8452673662323615
1982-12-16,5.473347731734556,-4.856098696690443
1982-12-17,5.473347731734556,-4.856098696690443
1982-12-20,5.473347731734556,-4.856098696690443
1982-12-21,5.473347731734556,-4.856098696690443
1982-12-22,5.473347731734556,-4.856930454689605
1982-12-23,5.473347731734556,-4.77693045468961
1982-12-24,5.432031068962667,-4.77693045468961
1982-12-27,6.244531068962667,-4.381930454689605
1982-12-28,6.244531068962667,-4.6285880681957785
1982-12-29,5.744531068962667,-4.403588068195779
1982-12-30,5.807031068962667,-4.958588068195819
1982-12-31,5.807031068962667,-4.764404842948777
1983-01-03,7.432031068962667,-5.324404842948745
1983-01-04,6.807031068962667,-4.625228552824944
1983-01-05,6.869531068962667,-4.585228552824957
1983-01-06,6.619531068962667,-4.181054265885505
1983-01-07,6.744531068962667,-4.1718749701873366
1983-01-10,6.869531068962667,-3.6626923861597414
1983-01-11,7.744531068962667,-3.982692386159814
1983-01-12,7.932031068962667,-3.962692386159741
1983-01-13,8.119531068962667,-3.9026923861597504
1983-01-14,8.432031068962667,-3.9026923861597504
1983-01-17,8.432031068962667,-3.7626923861597414
1983-01-18,8.432031068962667,-3.8026923861597504
1983-01-19,7.244531068962667,-4.6426923861597595
1983-01-20,6.932031068962667,-4.082692386159814
1983-01-21,5.182031068962667,-5.582692386159814
1983-01-24,4.080961857237523,-6.484283283997666
1983-01-25,4.080961857237523,-6.375074591152658
1983-01-26,4.080961857237523,-6.380861764212312
1983-01-27,4.080961857237523,-6.380861764212312
1983-01-28,4.080961857237523,-6.38165326575611
1983-01-31,4.080961857237523,-6.196653265756107
1983-02-01,4.080961857237523,-6.592451047127279
1983-02-02,4.080961857237523,-6.43245104712731
1983-02-03,4.080961857237523,-6.262451047127306
1983-02-04,4.080961857237523,-5.562451047127306
1983-02-07,4.043567708195454,-5.53245104712731
1983-02-08,4.043567708195454,-6.013242110207374
1983-02-09,4.168567708195454,-6.013242110207374
1983-02-10,2.7935677081954537,-4.858242110207333
1983-02-11,2.1315775861284796,-5.21824211020738
1983-02-14,2.1315775861284796,-4.573242110207318
1983-02-15,2.1200050391314327,-5.054997298910419
1983-02-16,2.1200050391314327,-5.4949972989104285
1983-02-17,2.1200050391314327,-5.174997298910492
1983-02-18,2.0833796879675774,-5.094997298910428
1983-02-21,2.0833796879675774,-5.094997298910428
1983-02-22,3.3333796879675774,-6.294997298910428
1983-02-23,2.7708796879675774,-5.356552071865629
1983-02-24,3.2971086750771796,-4.736552071865624
1983-02-25,7.17210867507718,-4.877328466753713
1983-02-28,5.92210867507718,-5.418104064516704
1983-03-01,7.67210867507718,-4.098104064516722
1983-03-02,7.54710867507718,-4.078104064516785
1983-03-03,8.17210867507718,-3.7981040645167217
1983-03-04,6.79710867507718,-3.6388727091451134
1983-03-07,3.6721086750771796,-3.663872709145318
1983-03-08,2.0109059655400814,-4.913872709145204
1983-03-09,2.0734059655400814,-4.038872709145318
1983-03-10,1.6359059655400814,-4.988872709145193
1983-03-11,1.3234059655400814,-4.8396344410573064
1983-03-14,2.5109059655400814,-4.679634441057361
1983-03-15,3.0734059655400814,-4.599634441057297
1983-03-16,2.4484059655400814,-5.899634441057297
1983-03-17,2.1984059655400814,-5.841148037080911
1983-03-18,2.3859059655400814,-5.641148037080911
1983-03-21,2.0734059655400814,-5.251148037080902
1983-03-22,1.8859059655400814,-5.491148037080911
1983-03-23,2.6984059655400814,-4.7711480370809065
1983-03-24,3.0734059655400814,-4.74265257443771
1983-03-25,2.0734059655400814,-5.422652574437774
1983-03-28,2.1984059655400814,-5.422652574437774
1983-03-29,2.5734059655400814,-5.762652574437692
1983-03-30,2.7609059655400814,-4.862652574437692
1983-03-31,2.4484059655400814,-5.9426525744377106
1983-04-01,2.4484059655400814,-5.943398082239678
1983-04-04,2.8859059655400814,-5.538398082239739
1983-04-05,4.198405965540081,-5.973398082239719
1983-04-06,4.385905965540081,-6.093398082239678
1983-04-07,3.948405965540081,-5.959135627690182
1983-04-08,3.573405965540081,-5.949135627690191
1983-04-11,4.823405965540081,-5.299135627690191
1983-04-12,4.698405965540081,-5.1998705794312015
1983-04-13,5.135905965540081,-4.975603228803548
1983-04-14,6.4768540013207785,-4.156335164590124
1983-04-15,5.7268540013207785,-4.257064777238403
1983-04-18,6.7268540013207785,-3.7477922027791584
1983-04-19,3.7268540013207785,-4.5185181340910425
1983-04-20,4.2268540013207785,-2.7185181340910427
1983-04-21,2.7268540013207785,-3.07851813409117
1983-04-22,2.8180354311320217,-3.0385181340910243
1983-04-25,3.1930354311320217,-4.358518134091188
1983-04-26,3.6305354311320217,-1.1585181340911879
1983-04-27,4.568035431132022,-1.3585181340911878
1983-04-28,4.630535431132022,-0.23851813409102407
1983-04-29,4.909631322665407,0.5207621973052593
1983-05-02,5.034631322665407,-0.5599562502478964
1983-05-03,5.659631322665407,-0.4099562502481465
1983-05-04,7.784631322665407,0.5900437497520808
1983-05-05,6.409631322665407,1.2400437497520582
1983-05-06,7.034631322665407,3.8900437497522633
1983-05-09,4.659631322665407,3.48862182787494
1983-05-10,6.409631322665407,3.48862182787494
1983-05-11,6.034631322665407,2.1686218278747766
1983-05-12,5.159631322665407,1.1486218278747493
1983-05-13,5.659631322665407,1.987917667571501
1983-05-16,2.2846313226654074,0.2279176675713508
1983-05-17,1.600055680610365,0.5540619462886484
1983-05-18,1.475055680610365,-0.7959380537113517
1983-05-19,0.537555680610365,-1.6066376218859786
1983-05-20,0.1921455982398118,-1.7680329520609264
1983-05-23,0.1921455982398118,-0.5680329520607899
1983-05-24,0.1921455982398118,0.751967047939101
1983-05-25,0.1921455982398118,1.2005729437036778
1983-05-26,0.1921455982398118,0.5998758079049145
1983-05-27,0.1921455982398118,0.10487580790505774
1983-05-30,0.1921455982398118,0.10487580790505774
