index,meta_best,baseline_g1
1982-08-30,0.0,0.0
1982-08-31,0.0,0.0
1982-09-01,0.0,0.0
1982-09-02,0.0,0.0
1982-09-03,0.0,0.0
1982-09-06,0.0,0.0
1982-09-07,0.0,0.0
1982-09-08,0.0,0.0
1982-09-09,0.0,0.0
1982-09-10,0.0,0.0
1982-09-13,0.0,0.0
1982-09-14,0.0,0.0
1982-09-15,0.0,0.0
1982-09-16,-5.3427024652204835,-5.3427024652204835
1982-09-17,-0.42842017050168657,-0.42842017050168657
1982-09-20,1.4478365767203627,1.4478365767203627
1982-09-21,6.851195031803936,6.851195031803936
1982-09-22,6.851195031803936,6.851195031803936
1982-09-23,8.263957997068516,8.263957997068516
1982-09-24,6.288464101757607,6.288464101757607
1982-09-27,6.539775901916234,6.52139548359516
1982-09-28,8.658141874210123,8.63936805693848
1982-09-29,8.415596727360741,8.39686638339574
1982-09-30,9.797242271600348,9.778245737222747
1982-10-01,13.296699796607815,13.276925848706123
1982-10-04,9.415833318899725,9.396731845415673
1982-10-05,10.183377829220785,10.030686291361924
1982-10-06,12.417321157550942,12.263981857376983
1982-10-07,16.688968914209322,16.531818326346247
1982-10-08,17.61969565083763,17.31838142872406
1982-10-11,21.640979124821325,20.76414925772432
1982-10-12,21.470865574965757,20.61909538286755
1982-10-13,22.166034698041436,21.225899906818334
1982-10-14,20.613032769168417,19.639884202630718
1982-10-15,19.34412829473997,18.54169077946761
1982-10-18,20.92380140110215,19.851992409148256
1982-10-19,21.61801215627335,20.47411847810856
1982-10-20,20.888405588180635,19.723300484542516
1982-10-21,21.04759674760519,19.889040638065026
1982-10-22,19.846574804090842,18.642370524376584
1982-10-25,17.61983033374772,16.410689669661682
1982-10-26,19.552315235742014,17.944628938969508
1982-10-27,18.904179126463493,17.37417919585955
1982-10-28,20.471630309532696,18.807125412970183
1982-10-29,21.736504816281553,20.050010434053632
1982-11-01,22.745340064771113,21.105535974956148
1982-11-02,22.745340064771113,21.105535974956148
1982-11-03,22.745340064771113,21.105535974956148
1982-11-04,23.029800946769186,21.403398729968682
1982-11-05,22.14534775926984,20.477662956310127
1982-11-08,21.604062488831445,19.911426999186776
1982-11-09,21.977579429804408,20.302036951352598
1982-11-10,22.107652444860193,20.438098298825857
1982-11-11,20.77475473059622,19.045628894441393
1982-11-12,21.513898306159906,19.816936367868298
1982-11-15,20.680427557453495,18.94724333313844
1982-11-16,19.484968366909982,17.70150956520673
1982-11-17,21.23947941433586,19.523560490623915
1982-11-18,22.44890540787985,20.779030306192436
1982-11-19,22.66995306179538,21.008619684972164
1982-11-22,21.98186296660389,20.294034114550954
1982-11-23,21.044520508874932,19.32135986242889
1982-11-24,20.804651194144075,19.072535742366515
1982-11-25,20.804651194144075,19.072535742366515
1982-11-26,20.804651194144075,19.072535742366515
1982-11-29,18.207836849635008,16.390969000362432
1982-11-30,18.43857104204456,16.628968730772353
1982-12-01,18.679502589158293,16.877493425641777
1982-12-02,19.51521636147684,17.739071559591867
1982-12-03,22.473429667147403,20.770551117593826
1982-12-06,22.55368380401592,20.85287609885964
1982-12-07,22.30287651311553,20.59558017322589
1982-12-08,20.20815400746663,18.45144680595223
1982-12-09,20.70072543963213,18.955209869069822
1982-12-10,18.94579480599625,17.162479603356907
1982-12-13,20.1820321068398,18.42334858966097
1982-12-14,21.699279715089006,19.96926962017107
1982-12-15,21.265839004213483,19.52744902335004
1982-12-16,19.596869551715002,17.82819483844973
1982-12-17,20.12333996444118,18.363862124229648
1982-12-20,19.57525817976591,17.80613807344107
1982-12-21,22.514442441049056,20.783324050525607
1982-12-22,21.905894380641968,20.16652084642383
1982-12-23,23.153939868062643,21.430426941978343
1982-12-24,23.153939868062643,21.430426941978343
1982-12-27,23.153939868062643,21.430426941978343
1982-12-28,23.153939868062643,21.430426941978343
1982-12-29,22.36127022375838,20.627500390652152
1982-12-30,22.46333842957544,20.730872107403677
1982-12-31,22.46333842957544,20.730872107403677
