,baseline_daily_pct,dmom_daily_pct,w_dmom
1982-09-14,0.0,0.0,
1982-09-15,0.0,0.0,
1982-09-16,0.0,0.0,
1982-09-17,0.0,0.0,
1982-09-20,0.0,0.0,
1982-09-21,0.0,0.0,
1982-09-22,0.0,0.0,
1982-09-23,0.0,0.0,
1982-09-24,0.0,0.0,
1982-09-27,0.0,0.0,
1982-09-28,0.0,0.0,
1982-09-29,0.0,0.0,
1982-09-30,-0.0006366004357632884,0.0,
1982-10-01,-0.08061900487398979,0.0,
1982-10-04,-0.11000000000003637,0.0,
1982-10-05,0.030000000000040928,0.0,
1982-10-06,-1.0,0.0,
1982-10-07,-0.9215535663657944,0.0,
1982-10-08,-0.002291210964581129,0.0,
1982-10-11,1.1092172457779037,0.0,
1982-10-12,-0.7007825967816339,0.0,
1982-10-13,1.8000000000000114,0.0,
1982-10-14,-1.3508126114467882,0.0,
1982-10-15,0.20999999999987723,0.0,
1982-10-18,2.0400000000001226,0.0,
1982-10-19,-0.7800000000001092,0.0,
1982-10-20,2.430000000000109,0.0,
1982-10-21,-0.21000000000001365,0.0,
1982-10-22,-1.5899999999999863,0.0,
1982-10-25,-3.000868114255145,0.0,
1982-10-26,1.398267525172343,0.0,
1982-10-27,-0.31499999999998635,0.0,
1982-10-28,-0.3908481274579334,0.0,
1982-10-29,0.12999999999999545,0.0,
1982-11-01,0.5800000000000409,0.0,
1982-11-02,0.2799999999999955,0.0,
1982-11-03,0.9991478064825368,0.0,
1982-11-04,0.059159492100352505,0.0,
1982-11-05,-0.34083255915780497,0.0,
1982-11-08,-0.5,0.0,
1982-11-09,1.7999999999998975,0.0,
1982-11-10,-2.0499999999998977,0.0,
1982-11-11,1.2241476943008633,0.0,
1982-11-12,-1.340000000000009,0.0,
1982-11-15,-1.5624561169657933,0.0,
1982-11-16,-0.06174392853269794,0.0,
1982-11-17,0.2,0.0,
1982-11-18,0.05,0.0,
1982-11-19,-0.3,0.0,
1982-11-22,-0.35,0.0,
1982-11-23,-0.016727741794688347,0.0,
1982-11-24,-0.125,0.0,
1982-11-25,0.0,0.0,
1982-11-26,-0.11500000000002046,0.0,
1982-11-29,0.13000000000001818,0.0,
1982-11-30,-0.5,0.0,
1982-12-01,0.05415057339575907,0.0,
1982-12-02,-0.0008420925888616112,0.0,
1982-12-03,0.029999999999984085,0.0,
1982-12-06,0.4200000000000159,0.0,
1982-12-07,0.03832424648490354,0.0,
1982-12-08,-0.7199999999999932,0.0,
1982-12-09,-0.49499999999999317,0.0,
1982-12-10,-0.13583005470467419,0.0,
1982-12-13,0.25,0.0,
1982-12-14,-0.9400000000000319,0.0,
1982-12-15,-0.10083762362090633,0.0,
1982-12-16,-0.01083133045808207,0.0,
1982-12-17,0.0,0.0,
1982-12-20,0.0,0.0,
1982-12-21,0.0,0.0,
1982-12-22,-0.0008317579991620292,0.0,
